Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Kal Ho Naa Ho,28 Nov 2003,2.17 Cr,6.71 Cr,12.45 Cr,38.55 Cr
Out Of Control,21 Nov 2003,0.72 Cr,2.15 Cr,3.31 Cr,4.77 Cr
Pinjar,24 Oct 2003,0.39 Cr,1.08 Cr,1.79 Cr,3.43 Cr
Sssshhh?,24 Oct 2003,0.46 Cr,1.18 Cr,1.98 Cr,3.64 Cr
Khel,03 Oct 2003,1.01 Cr,2.92 Cr,4.48 Cr,6.99 Cr
Baghban,03 Oct 2003,0.90 Cr,2.92 Cr,5.39 Cr,20.65 Cr
Zameen,26 Sep 2003,1.45 Cr,4.22 Cr,6.58 Cr,11.00 Cr
Boom,19 Sep 2003,1.27 Cr,3.58 Cr,5.28 Cr,6.23 Cr
Parwana,12 Sep 2003,0.74 Cr,2.07 Cr,3.10 Cr,4.35 Cr
Market,12 Sep 2003,0.32 Cr,0.99 Cr,1.58 Cr,2.81 Cr
Kuch Naa Kaho,05 Sep 2003,0.71 Cr,2.22 Cr,3.70 Cr,6.46 Cr
Calcutta Mail,05 Sep 2003,0.45 Cr,1.29 Cr,1.95 Cr,2.59 Cr
Gangaajal,29 Aug 2003,1.08 Cr,3.10 Cr,5.22 Cr,10.48 Cr
Mumbai Se Aaya Mera Dost,22 Aug 2003,0.52 Cr,1.43 Cr,2.11 Cr,2.48 Cr
Footpath,15 Aug 2003,0.62 Cr,1.76 Cr,2.74 Cr,4.15 Cr
Tere Naam,15 Aug 2003,1.85 Cr,4.78 Cr,7.74 Cr,14.53 Cr
Koi Mil Gaya,08 Aug 2003,2.25 Cr,6.45 Cr,12.90 Cr,47.20 Cr
Oops?,01 Aug 2003,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
Chori Chori,01 Aug 2003,0.48 Cr,1.42 Cr,2.23 Cr,3.15 Cr
Hungama,01 Aug 2003,0.80 Cr,2.53 Cr,4.45 Cr,12.61 Cr
Darna Mana Hai,25 Jul 2003,0.86 Cr,2.52 Cr,3.84 Cr,5.15 Cr
Jaal – The Trap,18 Jul 2003,1.09 Cr,2.97 Cr,4.62 Cr,7.10 Cr
Qayamat,11 Jul 2003,1.87 Cr,5.34 Cr,9.08 Cr,17.46 Cr
Hawa,04 Jul 2003,0.54 Cr,1.50 Cr,2.38 Cr,3.76 Cr
Main Prem Ki Diwani Hoon,27 Jun 2003,1.24 Cr,3.81 Cr,6.77 Cr,17.80 Cr
Supari,20 Jun 2003,0.45 Cr,1.25 Cr,1.85 Cr,2.66 Cr
Chalte Chalte,13 Jun 2003,1.50 Cr,4.52 Cr,8.23 Cr,19.44 Cr
Khwahish,06 Jun 2003,0.35 Cr,1.03 Cr,1.70 Cr,3.34 Cr
Nayee Padosan,06 Jun 2003,0.36 Cr,1.10 Cr,1.80 Cr,3.09 Cr
Bhoot,30 May 2003,1.27 Cr,3.69 Cr,6.43 Cr,14.49 Cr
Jajantaram Mamantram,30 May 2003,0.32 Cr,1.02 Cr,1.78 Cr,3.65 Cr
Andaaz,23 May 2003,1.44 Cr,4.39 Cr,6.97 Cr,15.94 Cr
Armaan,16 May 2003,0.75 Cr,0.05 Cr,3.94 Cr,6.82 Cr
Ishq Vishk,09 May 2003,0.58 Cr,1.80 Cr,3.19 Cr,7.74 Cr
The Hero,11 Apr 2003,2.22 Cr,6.31 Cr,10.74 Cr,26.23 Cr
Saaya,07 Apr 2003,0.47 Cr,1.39 Cr,2.17 Cr,3.24 Cr
Ek Aur Ek Gyarah,28 Mar 2003,1.10 Cr,3.19 Cr,5.26 Cr,11.71 Cr
Om,21 Mar 2003,0.31 Cr,0.88 Cr,1.34 Cr,2.20 Cr
Chura Liyaa Hai Tumne,21 Mar 2003,0.41 Cr,1.18 Cr,1.93 Cr,3.10 Cr
Baaz,07 Feb 2003,0.43 Cr,1.19 Cr,1.82 Cr,2.81 Cr
Khushi,07 Feb 2003,0.74 Cr,2.18 Cr,3.76 Cr,9.03 Cr
Dum,24 Jan 2003,0.53 Cr,1.59 Cr,2.76 Cr,5.03 Cr
Kucch To Hai,24 Jan 2003,0.70 Cr,2.06 Cr,3.57 Cr,6.78 Cr
Jism,17 Jan 2003,0.67 Cr,1.91 Cr,3.37 Cr,8.14 Cr
Dil Ka Rishta,17 Jan 2003,0.56 Cr,1.76 Cr,2.89 Cr,5.53 Cr
Talaash… The Hunt Begins,03 Jan 2003,0.95 Cr,4.39 Cr,7.86 Cr,7.86 Cr
Tujhe Meri Kasam,03 Jan 2003,0.16 Cr,0.61 Cr,1.09 Cr,8.93 Cr
Dil Maange More,31 Dec 2004,0.85 Cr,2.53 Cr,3.95 Cr,5.44 Cr
Ab Tumhare Hawale Watan Sathiyo,24 Dec 2004,1.63 Cr,4.58 Cr,7.19 Cr,11.56 Cr
Raincoat,24 Dec 2004,0.29 Cr,0.98 Cr,1.59 Cr,2.54 Cr
Swades,17 Dec 2004,1.63 Cr,5.15 Cr,8.28 Cr,16.31 Cr
Musafir,10 Dec 2004,1.70 Cr,5.00 Cr,7.76 Cr,11.82 Cr
Hulchul,26 Nov 2004,1.50 Cr,4.65 Cr,8.32 Cr,20.29 Cr
Naach,12 Nov 2004,0.42 Cr,1.53 Cr,2.34 Cr,3.16 Cr
Veer Zaara,12 Nov 2004,2.46 Cr,9.78 Cr,17.57 Cr,41.86 Cr
Aitraaz,12 Nov 2004,1.18 Cr,4.46 Cr,7.66 Cr,15.58 Cr
Vaastu Shastra,22 Oct 2004,0.92 Cr,2.68 Cr,4.20 Cr,6.95 Cr
Tauba Tauba,01 Oct 2004,0.42 Cr,1.21 Cr,1.99 Cr,3.62 Cr
Tumsa Nahin Dekha,24 Sep 2004,0.54 Cr,1.51 Cr,2.37 Cr,3.47 Cr
Madhoshi,24 Sep 2004,0.50 Cr,1.45 Cr,2.20 Cr,3.07 Cr
Dil Ne Jise Apna Kahaa,10 Sep 2004,1.09 Cr,3.22 Cr,4.95 Cr,6.85 Cr
Rakht,03 Sep 2004,1.19 Cr,3.00 Cr,4.24 Cr,5.34 Cr
Phir Milenge,27 Aug 2004,0.27 Cr,0.88 Cr,1.47 Cr,2.50 Cr
Dhoom,27 Aug 2004,1.85 Cr,5.82 Cr,10.51 Cr,31.60 Cr
Fida,20 Aug 2004,1.60 Cr,4.52 Cr,6.80 Cr,9.71 Cr
Kyun! Ho Gaya Na,13 Aug 2004,1.27 Cr,3.86 Cr,5.80 Cr,7.88 Cr
Taarzan – The Wonder Car,06 Aug 2004,0.67 Cr,2.00 Cr,3.01 Cr,4.26 Cr
Mujhse Shaadi Karogi,30 Jul 2004,2.45 Cr,7.29 Cr,12.21 Cr,29.11 Cr
Julie,23 Jul 2004,1.08 Cr,3.07 Cr,5.03 Cr,9.17 Cr
Asambhav,23 Jul 2004,0.62 Cr,1.68 Cr,2.47 Cr,3.13 Cr
Gayab,16 Jul 2004,1.38 Cr,3.95 Cr,5.74 Cr,7.11 Cr
Garv,09 Jul 2004,1.92 Cr,5.42 Cr,8.77 Cr,14.38 Cr
Deewaar – Lets bring our heroes home,25 Jun 2004,1.72 Cr,5.01 Cr,8.05 Cr,13.24 Cr
Lakshya,18 Jun 2004,2.30 Cr,6.92 Cr,11.67 Cr,23.56 Cr
Dev,11 Jun 2004,1.15 Cr,3.38 Cr,5.02 Cr,6.83 Cr
Girlfriend,11 Jun 2004,0.44 Cr,1.31 Cr,2.04 Cr,3.94 Cr
Aan – Men at Work,04 Jun 2004,1.40 Cr,3.98 Cr,6.12 Cr,9.27 Cr
Hum Tum,28 May 2004,1.23 Cr,4.04 Cr,7.49 Cr,21.64 Cr
Yuva,21 May 2004,1.61 Cr,4.96 Cr,8.13 Cr,14.25 Cr
Run,14 May 2004,0.76 Cr,2.18 Cr,3.28 Cr,4.75 Cr
Lakeer,14 May 2004,0.95 Cr,2.50 Cr,3.60 Cr,4.80 Cr
Main Hoon Na,30 Apr 2004,2.72 Cr,8.03 Cr,14.57 Cr,36.20 Cr
Bardaasht,23 Apr 2004,0.53 Cr,1.45 Cr,2.17 Cr,2.97 Cr
Krishna Cottage,16 Apr 2004,0.66 Cr,1.87 Cr,2.81 Cr,3.99 Cr
Masti,09 Apr 2004,1.80 Cr,5.47 Cr,9.13 Cr,20.28 Cr
Murder,02 Apr 2004,1.03 Cr,2.95 Cr,5.27 Cr,15.01 Cr
Ab Tak Chhappan,27 Feb 2004,0.68 Cr,0.22 Cr,3.76 Cr,8.68 Cr
Tum?,20 Feb 2004,0.34 Cr,0.98 Cr,1.55 Cr,2.86 Cr
Kismat,20 Feb 2004,0.69 Cr,1.97 Cr,3.02 Cr,4.91 Cr
I – Proud To Be An Indian,13 Feb 2004,0.49 Cr,1.31 Cr,1.87 Cr,2.40 Cr
Rudraksh,13 Feb 2004,1.22 Cr,3.25 Cr,4.70 Cr,5.90 Cr
Paap,30 Jan 2004,0.46 Cr,1.21 Cr,1.80 Cr,2.50 Cr
Aetbaar,23 Jan 2004,0.67 Cr,1.88 Cr,2.80 Cr,4.25 Cr
Khakee,23 Jan 2004,2.05 Cr,6.10 Cr,10.81 Cr,25.79 Cr
Ek Hasina Thi,16 Jan 2004,0.62 Cr,1.78 Cr,2.73 Cr,4.64 Cr
Plan,09 Jan 2004,1.13 Cr,3.02 Cr,4.47 Cr,6.41 Cr
Chameli,09 Jan 2004,0.44 Cr,1.39 Cr,2.13 Cr,3.20 Cr
Shikhar,30 Dec 2005,1.21 Cr,3.62 Cr,5.27 Cr,6.62 Cr
Dosti – Friends Forever,23 Dec 2005,1.28 Cr,3.55 Cr,5.58 Cr,8.77 Cr
Vaah! Life Ho Toh Aisi,23 Dec 2005,0.86 Cr,2.51 Cr,3.80 Cr,5.84 Cr
Bluffmaster,16 Dec 2005,1.60 Cr,5.21 Cr,8.56 Cr,18.28 Cr
Neal ‘n’ Nikki,09 Dec 2005,1.05 Cr,2.98 Cr,4.40 Cr,6.06 Cr
Ek Ajnabee,09 Dec 2005,1.10 Cr,3.12 Cr,4.68 Cr,6.94 Cr
Kalyug,09 Dec 2005,0.68 Cr,1.97 Cr,3.18 Cr,7.21 Cr
Apaharan,02 Dec 2005,1.90 Cr,5.63 Cr,8.90 Cr,15.66 Cr
Deewane Huye Paagal,25 Nov 2005,2.24 Cr,6.49 Cr,10.00 Cr,15.17 Cr
Ek Khiladi Ek Haseena,18 Nov 2005,0.98 Cr,2.68 Cr,3.94 Cr,4.74 Cr
Garam Masala,02 Nov 2005,3.02 Cr,7.11 Cr,14.13 Cr,29.00 Cr
Kyon Ki,02 Nov 2005,1.92 Cr,4.44 Cr,8.08 Cr,12.71 Cr
Shaadi No.1,02 Nov 2005,1.82 Cr,4.37 Cr,7.63 Cr,11.49 Cr
Hanuman,21 Oct 2005,0.25 Cr,0.90 Cr,1.58 Cr,5.38 Cr
Chocolate,16 Sep 2005,0.85 Cr,2.42 Cr,3.70 Cr,6.64 Cr
Salaam Namaste,09 Sep 2005,2.15 Cr,6.84 Cr,11.49 Cr,26.20 Cr
Aashiq Banaya Aapne,02 Sep 2005,0.85 Cr,2.56 Cr,3.89 Cr,6.38 Cr
No Entry,26 Aug 2005,1.72 Cr,7.98 Cr,14.08 Cr,44.72 Cr
Iqbal,26 Aug 2005,0.13 Cr,0.52 Cr,0.98 Cr,3.86 Cr
Barsaat,19 Aug 2005,1.59 Cr,4.46 Cr,6.78 Cr,9.91 Cr
Mangal Pandey – The Rising,12 Aug 2005,3.24 Cr,9.59 Cr,17.37 Cr,27.86 Cr
Viruddh,22 Jul 2005,1.17 Cr,3.65 Cr,5.89 Cr,10.07 Cr
Maine Pyaar Kyun Kiya,15 Jul 2005,2.40 Cr,6.95 Cr,11.56 Cr,25.69 Cr
Fareb,08 Jul 2005,0.14 Cr,0.34 Cr,0.54 Cr,0.74 Cr
Dus,08 Jul 2005,2.92 Cr,8.22 Cr,12.82 Cr,23.29 Cr
Sarkar,01 Jul 2005,2.43 Cr,6.86 Cr,11.57 Cr,24.84 Cr
Paheli,24 Jun 2005,2.02 Cr,5.76 Cr,8.75 Cr,12.85 Cr
Bach Ke Rehna Re Baba,17 Jun 2005,0.64 Cr,1.79 Cr,2.82 Cr,3.67 Cr
Parineeta,10 Jun 2005,1.15 Cr,3.97 Cr,6.77 Cr,16.79 Cr
D – Underworld,03 Jun 2005,1.00 Cr,2.80 Cr,4.23 Cr,5.94 Cr
Bunty Aur Babli,27 May 2005,2.68 Cr,8.66 Cr,14.37 Cr,36.25 Cr
Naina,20 May 2005,0.68 Cr,2.13 Cr,3.41 Cr,4.83 Cr
Jo Bole So Nihaal,13 May 2005,1.60 Cr,4.32 Cr,6.70 Cr,8.22 Cr
Kyaa Kool Hai Hum,06 May 2005,0.92 Cr,3.21 Cr,5.32 Cr,15.34 Cr
Kaal,29 Apr 2005,2.71 Cr,7.53 Cr,11.45 Cr,19.09 Cr
Waqt – Race Against Time,22 Apr 2005,1.91 Cr,5.78 Cr,9.37 Cr,20.25 Cr
Mumbai Xpress,15 Apr 2005,0.45 Cr,1.38 Cr,2.16 Cr,3.50 Cr
Lucky – No Time For Love,06 Apr 2005,2.32 Cr,6.57 Cr,10.15 Cr,15.94 Cr
Shabd,02 Apr 2005,0.94 Cr,2.61 Cr,3.86 Cr,5.47 Cr
Tango Charlie,25 Mar 2005,1.15 Cr,3.11 Cr,4.74 Cr,7.16 Cr
Zeher,25 Mar 2005,0.64 Cr,2.06 Cr,3.45 Cr,7.34 Cr
Karam,12 Mar 2005,0.77 Cr,2.22 Cr,3.41 Cr,4.95 Cr
Bewafaa,25 Feb 2005,1.93 Cr,5.62 Cr,8.87 Cr,16.97 Cr
Jurm,18 Feb 2005,0.76 Cr,2.13 Cr,3.18 Cr,4.24 Cr
Black,04 Feb 2005,1.03 Cr,3.43 Cr,6.47 Cr,23.19 Cr
Blackmail,28 Jan 2005,0.81 Cr,2.13 Cr,3.10 Cr,4.14 Cr
Kisna,21 Jan 2005,1.49 Cr,4.22 Cr,6.59 Cr,8.22 Cr
Page 3,21 Jan 2005,0.18 Cr,0.72 Cr,1.53 Cr,8.86 Cr
Elaan,14 Jan 2005,1.16 Cr,3.06 Cr,4.65 Cr,7.52 Cr
Insan,14 Jan 2005,0.92 Cr,2.41 Cr,3.72 Cr,6.58 Cr
Vaada,07 Jan 2005,0.95 Cr,2.62 Cr,3.85 Cr,5.41 Cr
Bhagam Bhag,22 Dec 2006,3.43 Cr,11.34 Cr,20.91 Cr,40.38 Cr
Kabul Express,15 Dec 2006,1.49 Cr,4.87 Cr,7.21 Cr,11.70 Cr
Baabul,06 Dec 2006,2.23 Cr,6.88 Cr,10.81 Cr,17.32 Cr
Dhoom 2,24 Nov 2006,5.85 Cr,17.41 Cr,32.00 Cr,81.01 Cr
Vivah,10 Nov 2006,0.83 Cr,2.84 Cr,5.63 Cr,31.56 Cr
Apna Sapna Money Money,10 Nov 2006,1.94 Cr,5.70 Cr,8.83 Cr,14.40 Cr
Umrao Jaan,03 Nov 2006,1.52 Cr,4.27 Cr,6.09 Cr,7.43 Cr
Don – The Chase Begins Again,20 Oct 2006,4.65 Cr,14.18 Cr,24.44 Cr,50.35 Cr
Jaan-E-Mann,20 Oct 2006,2.43 Cr,8.02 Cr,13.60 Cr,25.13 Cr
Woh Lamhe,29 Sep 2006,0.82 Cr,2.68 Cr,4.18 Cr,6.80 Cr
Khosla Ka Ghosla,22 Sep 2006,0.26 Cr,1.01 Cr,1.65 Cr,4.59 Cr
Rocky – The Rebel,22 Sep 2006,0.41 Cr,1.33 Cr,1.83 Cr,2.16 Cr
Dor,22 Sep 2006,0.14 Cr,0.51 Cr,0.90 Cr,2.70 Cr
Shiva,15 Sep 2006,0.56 Cr,1.52 Cr,2.18 Cr,2.44 Cr
Pyaar Ke Side Effects,15 Sep 2006,0.72 Cr,2.42 Cr,3.91 Cr,8.33 Cr
Naksha,08 Sep 2006,1.39 Cr,3.76 Cr,5.43 Cr,6.61 Cr
Dil Diya Hai,08 Sep 2006,0.51 Cr,1.44 Cr,2.06 Cr,2.31 Cr
Lage Raho Munnabhai,01 Sep 2006,3.38 Cr,10.95 Cr,20.39 Cr,74.88 Cr
Aap Ki Khatir,25 Aug 2006,1.24 Cr,3.59 Cr,5.33 Cr,6.39 Cr
Kabhi Alvida Naa Kehna,11 Aug 2006,5.18 Cr,16.62 Cr,27.79 Cr,44.41 Cr
Anthony Kaun Hai?,04 Aug 2006,1.31 Cr,3.52 Cr,4.98 Cr,6.17 Cr
Omkara,28 Jul 2006,2.78 Cr,8.43 Cr,13.22 Cr,23.22 Cr
The Killer,21 Jul 2006,0.99 Cr,2.73 Cr,3.88 Cr,4.65 Cr
Golmaal: Fun Unlimited,14 Jul 2006,2.32 Cr,7.54 Cr,12.89 Cr,29.33 Cr
Corporate,07 Jul 2006,1.17 Cr,3.69 Cr,5.89 Cr,10.32 Cr
Krrish,23 Jun 2006,6.00 Cr,17.34 Cr,29.30 Cr,72.16 Cr
Phir Hera Pheri,09 Jun 2006,3.28 Cr,9.86 Cr,17.75 Cr,40.80 Cr
Chup Chup Ke,09 Jun 2006,1.28 Cr,4.18 Cr,7.08 Cr,13.75 Cr
Shaadi Se Pehle,04 Jun 2006,1.52 Cr,4.53 Cr,6.92 Cr,10.20 Cr
Fanaa,26 May 2006,3.96 Cr,11.74 Cr,20.32 Cr,51.87 Cr
Tom Dick and Harry,12 May 2006,1.19 Cr,3.48 Cr,5.52 Cr,9.22 Cr
Tathastu,12 May 2006,0.43 Cr,1.15 Cr,1.65 Cr,1.94 Cr
36 China Town,05 May 2006,2.57 Cr,7.55 Cr,11.93 Cr,23.05 Cr
Darna Zaroori Hai,28 Apr 2006,1.34 Cr,3.72 Cr,5.37 Cr,6.43 Cr
Gangster,28 Apr 2006,1.07 Cr,3.47 Cr,5.82 Cr,12.67 Cr
Pyare Mohan,21 Apr 2006,1.89 Cr,5.72 Cr,8.48 Cr,11.80 Cr
Humko Deewana Kar Gaye,14 Apr 2006,1.90 Cr,5.41 Cr,8.44 Cr,14.13 Cr
Saawan – The Love Season,06 Apr 2006,0.80 Cr,2.14 Cr,3.06 Cr,3.47 Cr
Being Cyrus,24 Mar 2006,0.38 Cr,1.33 Cr,2.21 Cr,3.91 Cr
Malamaal Weekly,10 Mar 2006,1.73 Cr,5.91 Cr,10.26 Cr,26.89 Cr
Teesri Aankh – The Hidden Camera,03 Mar 2006,0.70 Cr,2.19 Cr,3.11 Cr,4.16 Cr
Taxi Number 9211,24 Feb 2006,1.61 Cr,5.17 Cr,8.62 Cr,19.59 Cr
Fight Club – Members Only,17 Feb 2006,1.00 Cr,2.80 Cr,4.02 Cr,5.48 Cr
Mere Jeevan Saathi,03 Feb 2006,0.40 Cr,1.13 Cr,1.69 Cr,2.42 Cr
Aksar,03 Feb 2006,0.95 Cr,2.85 Cr,4.64 Cr,8.58 Cr
Rang De Basanti,26 Jan 2006,3.12 Cr,7.69 Cr,15.35 Cr,53.08 Cr
Zinda,12 Jan 2006,1.30 Cr,3.63 Cr,5.92 Cr,10.17 Cr
Family – Ties of Blood,12 Jan 2006,1.38 Cr,3.77 Cr,5.70 Cr,8.59 Cr
Jawani Diwani – A Youthful Joyride,06 Jan 2006,0.94 Cr,2.58 Cr,3.70 Cr,4.72 Cr
Welcome,27 Dec 2007,3.32 Cr,16.52 Cr,33.41 Cr,70.15 Cr
Taare Zameen Par,21 Dec 2007,2.62 Cr,9.65 Cr,16.57 Cr,61.83 Cr
Dus Kahaniyaan,07 Dec 2007,1.20 Cr,4.02 Cr,5.98 Cr,7.78 Cr
Aaja Nachle,30 Nov 2007,1.85 Cr,6.16 Cr,9.03 Cr,14.07 Cr
Dhan Dhana Dhan Goal,23 Nov 2007,2.05 Cr,6.43 Cr,9.55 Cr,13.87 Cr
Om Shanti Om,09 Nov 2007,5.53 Cr,21.47 Cr,36.38 Cr,78.17 Cr
Good Boy Bad Boy,05 Nov 2007,0.97 Cr,3.24 Cr,4.81 Cr,7.25 Cr
Jab We Met,26 Oct 2007,1.75 Cr,6.82 Cr,11.80 Cr,31.06 Cr
Laaga Chunari Mein Daag,12 Oct 2007,2.02 Cr,7.36 Cr,11.17 Cr,17.51 Cr
Bhool Bhulaiyaa,12 Oct 2007,3.88 Cr,14.37 Cr,23.50 Cr,49.10 Cr
Johnny Gaddaar,28 Sep 2007,0.54 Cr,1.87 Cr,2.83 Cr,4.05 Cr
Dhol,21 Sep 2007,1.72 Cr,5.56 Cr,8.96 Cr,16.06 Cr
Saawariya,11 Sep 2007,3.00 Cr,11.23 Cr,16.86 Cr,20.92 Cr
Darling,07 Sep 2007,0.58 Cr,1.77 Cr,2.50 Cr,2.91 Cr
Dhamaal,07 Sep 2007,2.38 Cr,8.00 Cr,13.65 Cr,32.51 Cr
Red,03 Sep 2007,0.75 Cr,2.36 Cr,3.37 Cr,3.92 Cr
Ram Gopal Varma Ki Aag,31 Aug 2007,1.72 Cr,4.96 Cr,6.98 Cr,7.39 Cr
Heyy Babyy,24 Aug 2007,4.77 Cr,15.17 Cr,0 Cr N.A,24.48 Cr
Buddha Mar Gaya,17 Aug 2007,0.62 Cr,1.94 Cr,2.73 Cr,2.95 Cr
Chak De India,10 Aug 2007,3.07 Cr,11.53 Cr,21.53 Cr,66.54 Cr
Gandhi My Father,03 Aug 2007,0.46 Cr,1.58 Cr,2.37 Cr,3.42 Cr
Cash,03 Aug 2007,3.73 Cr,11.08 Cr,15.90 Cr,18.57 Cr
Naqaab,13 Jul 2007,2.31 Cr,7.10 Cr,10.26 Cr,12.69 Cr
Awarapan,29 Jun 2007,0.79 Cr,2.88 Cr,4.47 Cr,7.76 Cr
Apne,29 Jun 2007,1.89 Cr,6.22 Cr,10.34 Cr,22.07 Cr
Aap Ka Surroor – The Moviee,29 Jun 2007,1.79 Cr,5.25 Cr,8.04 Cr,12.43 Cr
Jhoom Barabar Jhoom,15 Jun 2007,4.47 Cr,13.93 Cr,20.53 Cr,27.27 Cr
The Train,08 Jun 2007,0.96 Cr,3.08 Cr,4.37 Cr,5.11 Cr
Shakalaka Boom Boom,04 Jun 2007,1.29 Cr,4.04 Cr,5.68 Cr,6.78 Cr
Fool n Final,01 Jun 2007,2.63 Cr,8.19 Cr,12.47 Cr,17.82 Cr
Cheeni Kum,25 May 2007,1.00 Cr,3.97 Cr,6.75 Cr,17.30 Cr
Shootout At Lokhandwala,25 May 2007,3.46 Cr,10.68 Cr,16.72 Cr,29.73 Cr
Life In A… Metro,11 May 2007,0.87 Cr,3.52 Cr,6.23 Cr,15.83 Cr
Ta Ra Rum Pum,27 Apr 2007,3.66 Cr,11.42 Cr,18.05 Cr,38.45 Cr
Kya Love Story Hai,20 Apr 2007,0.60 Cr,1.89 Cr,2.59 Cr,2.90 Cr
Big Brother,13 Apr 2007,0.82 Cr,2.42 Cr,3.50 Cr,4.94 Cr
Bheja Fry,13 Apr 2007,0.27 Cr,1.22 Cr,2.41 Cr,8.98 Cr
Provoked,06 Apr 2007,0.28 Cr,0.90 Cr,1.45 Cr,2.41 Cr
Namastey London,23 Mar 2007,2.83 Cr,9.04 Cr,15.69 Cr,37.29 Cr
Just Married,16 Mar 2007,0 Cr N.A,0 Cr N.A,3.24 Cr,4.17 Cr
Hattrick,16 Mar 2007,0.93 Cr,2.91 Cr,4.03 Cr,4.81 Cr
Nishabd,02 Mar 2007,1.15 Cr,3.73 Cr,5.46 Cr,7.53 Cr
Nehlle Pe Dehlla,02 Mar 2007,0.67 Cr,1.95 Cr,2.76 Cr,3.29 Cr
Honeymoon Travels Pvt Ltd.,23 Feb 2007,1.17 Cr,3.84 Cr,6.09 Cr,11.62 Cr
Eklavya – The Royal Guard,16 Feb 2007,3.19 Cr,9.65 Cr,13.97 Cr,18.88 Cr
Black Friday,09 Feb 2007,0.47 Cr,1.78 Cr,2.88 Cr,4.76 Cr
Traffic Signal,02 Feb 2007,1.04 Cr,3.52 Cr,5.45 Cr,8.48 Cr
Salaam-E-Ishq,26 Jan 2007,4.19 Cr,11.15 Cr,16.26 Cr,22.68 Cr
Risk,19 Jan 2007,0.55 Cr,1.78 Cr,2.45 Cr,2.83 Cr
Guru,12 Jan 2007,3.37 Cr,11.14 Cr,18.70 Cr,45.49 Cr
Ghajini,25 Dec 2008,0 Cr N.A,0 Cr N.A,55.16 Cr,114 Cr
Jumbo,25 Dec 2008,0.33 Cr,1.16 Cr,1.66 Cr,2.53 Cr
Rab Ne Bana Di Jodi,12 Dec 2008,6.76 Cr,24.32 Cr,41.79 Cr,84.68 Cr
Dil Kabaddi,05 Dec 2008,0.60 Cr,2.14 Cr,3.27 Cr,3.84 Cr
Oye Lucky! Lucky Oye!,28 Nov 2008,0.70 Cr,2.97 Cr,4.63 Cr,6.72 Cr
Yuvvraaj,21 Nov 2008,2.88 Cr,9.02 Cr,12.94 Cr,16.89 Cr
Dostana,14 Nov 2008,5.29 Cr,17.53 Cr,26.74 Cr,44.38 Cr
Emi,07 Nov 2008,1.03 Cr,3.35 Cr,4.71 Cr,5.03 Cr
Fashion,29 Oct 2008,2.44 Cr,6.78 Cr,14.40 Cr,26.46 Cr
Golmaal Returns,29 Oct 2008,5.89 Cr,17.56 Cr,33.90 Cr,51.12 Cr
Heroes,24 Oct 2008,2.09 Cr,6.78 Cr,10.38 Cr,12.63 Cr
Roadside Romeo,24 Oct 2008,0.66 Cr,2.25 Cr,3.39 Cr,4.54 Cr
Karzzzz,17 Oct 2008,2.05 Cr,6.24 Cr,9.06 Cr,10.34 Cr
Hello,10 Oct 2008,1.97 Cr,6.27 Cr,9.70 Cr,12.11 Cr
Kidnap,02 Oct 2008,4.88 Cr,9.89 Cr,15.84 Cr,20.50 Cr
Drona,02 Oct 2008,1.79 Cr,4.00 Cr,7.67 Cr,8.97 Cr
Welcome to Sajjanpur,19 Sep 2008,1.13 Cr,4.19 Cr,6.42 Cr,9.81 Cr
1920,12 Sep 2008,0.89 Cr,3.25 Cr,5.84 Cr,10.48 Cr
A Wednesday !,05 Sep 2008,0.44 Cr,1.92 Cr,3.53 Cr,11.73 Cr
C Kkompany,29 Aug 2008,0.73 Cr,2.28 Cr,3.14 Cr,3.49 Cr
Rock On!!,29 Aug 2008,1.66 Cr,6.02 Cr,9.59 Cr,25.30 Cr
Phoonk,22 Aug 2008,1.35 Cr,4.37 Cr,6.64 Cr,9.80 Cr
Mumbai Meri Jaan,22 Aug 2008,0.44 Cr,1.57 Cr,2.44 Cr,3.54 Cr
God Tussi Great Ho,15 Aug 2008,2.43 Cr,6.42 Cr,9.85 Cr,12.51 Cr
Bachna Ae Haseeno,15 Aug 2008,4.87 Cr,13.15 Cr,20.07 Cr,36.19 Cr
Singh Is Kinng,08 Aug 2008,7.24 Cr,25.53 Cr,39.38 Cr,67.91 Cr
Ugly Aur Pagli,01 Aug 2008,1.32 Cr,4.53 Cr,6.68 Cr,7.13 Cr
Money Hai Toh Honey Hai,25 Jul 2008,0.69 Cr,2.26 Cr,3.32 Cr,3.88 Cr
Mission Istaanbul,25 Jul 2008,1.18 Cr,3.86 Cr,5.36 Cr,6.35 Cr
Kismat Konnection,18 Jul 2008,3.41 Cr,11.45 Cr,16.81 Cr,22.77 Cr
Contract,18 Jul 2008,0.58 Cr,1.90 Cr,2.54 Cr,2.66 Cr
Love Story 2050,04 Jul 2008,2.03 Cr,6.72 Cr,9.73 Cr,11.01 Cr
Jaane Tu… Ya Jaane Na,04 Jul 2008,3.45 Cr,12.21 Cr,21.01 Cr,55.62 Cr
Thoda Pyaar Thoda Magic,27 Jun 2008,3.34 Cr,11.52 Cr,16.85 Cr,21.67 Cr
De Taali,20 Jun 2008,1.50 Cr,4.83 Cr,7.26 Cr,8.49 Cr
